CLIENTNUM,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
1,61,F,2,Post-Graduate,Married,Unknown,Blue,48,4,6,4,6427.931526236437,0,6427.931526236437,1.7694214307291762,2508,37,0.7176871711130901,0.1114825873614458
2,34,M,0,Graduate,Single,Less than $40K,Blue,50,4,5,5,1438.3,197,1241.3,0.2748044970127088,4357,57,2.2908261659947886,0.0
3,26,M,2,Graduate,Divorced,Less than $40K,Blue,26,4,0,4,2010.6201667881687,1187,823.6201667881687,0.32481170742887744,2324,43,0.0,0.28333484719498975
4,51,M,2,College,Married,$40K - $60K,Blue,34,4,2,5,1438.3,1111,327.29999999999995,0.4201936830544621,3396,88,1.7650331882840615,0.0
5,45,F,1,Uneducated,Single,Unknown,Blue,29,3,2,2,1438.3,0,1438.3,0.44465256923622437,3006,61,0.1319475904021577,0.0
6,45,M,3,Graduate,Married,$80K - $120K,Blue,29,1,4,3,11865.125999189382,455,11410.125999189382,0.33810113471509157,3132,73,1.889133094570207,0.0
7,56,M,1,High School,Single,Unknown,Blue,27,3,3,2,18165.17449727453,510,17655.17449727453,0.499638343123606,1775,36,1.008120253216915,0.9285370233996787
8,61,M,1,High School,Married,Less than $40K,Blue,46,5,3,5,7731.736521814813,1448,6283.736521814813,1.5791784540478924,521,10,0.4100675414207226,0.6896947876473999
9,39,M,0,Unknown,Married,Less than $40K,Blue,43,6,4,0,14718.269843523713,0,14718.269843523713,0.542264031225975,7774,111,0.0,0.38016007668128865
10,37,F,2,Graduate,Married,$40K - $60K,Blue,43,4,2,3,27239.053393669743,1323,25916.053393669743,1.882543593554991,3878,54,0.0,0.0
11,40,M,0,Graduate,Single,$60K - $80K,Blue,30,3,4,3,14511.895678565133,557,13954.895678565133,0.0,4308,60,0.6921801184890743,0.0
12,62,M,2,College,Single,Less than $40K,Blue,22,1,6,2,8714.271018386491,301,8413.271018386491,0.0,6931,92,0.0,0.0
13,48,F,3,Uneducated,Married,$40K - $60K,Blue,38,1,2,1,3367.696616665441,323,3044.696616665441,0.4385744477979136,5525,76,0.5248644460851923,0.528457294112365
14,42,F,2,Graduate,Single,Unknown,Blue,26,4,4,0,2330.7177875329708,1641,689.7177875329708,0.923171805248936,3129,46,0.0,0.14496017240736397
15,44,M,3,Graduate,Married,Less than $40K,Blue,15,3,0,1,1438.3,1515,3.0,0.0,5816,96,2.531863044359978,0.5490502217000917
16,55,F,2,High School,Unknown,$40K - $60K,Blue,40,1,2,5,16011.821588629155,2517,13494.821588629155,1.9016076616250308,1415,27,0.45909495451938637,0.4758763645808183
17,26,M,5,Graduate,Married,$120K +,Blue,30,2,0,6,8095.972708757862,1493,6602.972708757862,1.8957125325662323,3014,47,1.0313090519239732,0.223127851346357
18,30,M,2,Unknown,Single,$60K - $80K,Blue,13,2,2,0,14027.821426802537,992,13035.821426802537,0.2145661800648317,1024,18,0.0,0.0
19,45,M,3,Post-Graduate,Single,$60K - $80K,Blue,40,1,6,3,2737.938598690891,0,2737.938598690891,1.3064799324433491,2258,33,1.1236706593046009,0.7731160502755313
20,47,F,5,Unknown,Single,$40K - $60K,Blue,39,2,5,6,15497.266939290379,1371,14126.266939290379,0.2479106386286855,2058,46,1.5105630807501438,0.0
21,51,F,1,Post-Graduate,Married,$80K - $120K,Blue,32,4,1,4,1438.3,2517,3.0,0.2195177149421833,4232,62,0.3381563393074327,0.3411159420248443
22,51,F,4,College,Married,$40K - $60K,Blue,39,4,0,0,8530.417052714858,1822,6708.417052714858,0.4627028220110675,2643,40,0.6083710846971396,0.0
23,37,M,0,High School,Married,Unknown,Blue,14,4,0,5,2842.6332709809676,92,2750.6332709809676,0.5674932128534222,4419,66,0.0,0.5483472001298226
24,42,F,3,High School,Divorced,$80K - $120K,Blue,42,4,4,2,1438.3,174,1264.3,0.0,4278,69,0.9976103876017195,0.0
25,68,F,2,Graduate,Married,Less than $40K,Blue,41,4,1,6,19174.49542277457,452,18722.49542277457,1.522460033843854,2930,31,1.4028077682395157,0.042627595503746396
26,50,M,3,College,Married,Less than $40K,Blue,30,6,3,5,9778.41044045362,2099,7679.410440453619,0.609998943053968,6573,86,1.9948258408685868,0.0
27,46,M,0,Graduate,Single,$80K - $120K,Blue,56,2,4,4,1438.3,1325,113.29999999999995,0.0,652,10,0.0,0.999
28,61,F,1,Uneducated,Single,Less than $40K,Blue,40,2,0,6,5556.720950546885,0,5556.720950546885,1.493694247052735,2541,67,1.9833422561315328,0.40249388570568045
29,41,F,4,Graduate,Unknown,Less than $40K,Blue,42,4,2,5,8733.010704592654,1766,6967.010704592654,0.0,5695,85,1.5685900153323453,0.0
30,47,M,0,Unknown,Single,Less than $40K,Blue,43,3,3,3,13203.861907011622,771,12432.861907011622,0.9161712656322398,2529,50,0.17802442075281028,0.19868044492364234
31,39,F,4,High School,Single,$80K - $120K,Blue,36,4,1,2,23100.34777023153,560,22540.34777023153,0.1178865341808224,8037,109,0.20942917753196233,0.5748970013603485
32,54,F,3,Graduate,Married,$40K - $60K,Blue,29,2,3,2,1438.3,2251,3.0,0.4257396874836081,4858,63,0.07551819032043694,0.5399469251886427
33,46,M,4,College,Married,$60K - $80K,Blue,37,2,6,4,9640.883190801173,0,9640.883190801173,0.7493994448583116,4626,60,0.0,0.35401544511582084
